,graph_name,noBranchingapc,noBranching_time,noBranchingMathTime,noBranchingFirstHalfTime,(no)longest for getrgf,(no)longest time,noBranchingCase,noBranchingGamma
54,cantor_set_.main,0.246368042775306*1.22920767830819**n,2.3174543380737305,0.12097406387329102,1.533897876739502,gammaTime,1.527,1.0,(-T0*(x**5 - 1)*(x**9 - (x**2 - 1)*(x**3 - 1)) + 2*x**5*(-x**10*(x + 1)*(x**3 - 1) + (x**5 - 1)*(x**11 + x**10 + x**9 - (x**2 - 1)*(x**3 - 1)*(x**2 + x + 1))))/((x**5 - 1)*(x**9 - (x**2 - 1)*(x**3 - 1)))
55,cartesian_to_polar_.to_polar,108.0*1.0**n,0.7629647254943848,0.03457784652709961,0.5947494506835938,gammaTime,0.586,1.0,-T0 + x**5*(4*x**17 + 14*x**16 + 18*x**15 + 14*x**14 + 13*x**13 + 11*x**12 + 8*x**11 + 5*x**10 + x**9 + 3*x**8 + 5*x**7 + x**5 + 6*x**4 + 2*x**3 + 2*x + 1)
56,catalan_.main,0.00617283950617284*1.0**n*n**3,0.281566858291626,0.032360076904296875,0.17174482345581055,gammaTime,0.169,1.0,-T0 - x**12/(x**3 - 1)**3
57,collatz_.main,1.0*1.18920711500272**n,0.3174021244049072,0.029909610748291016,0.22300267219543457,gammaTime,0.219,1.0,(-2*T0*x**4 + T0 - 2*x**5)/(2*x**4 - 1)
58,euclidean_algorithm_extended_.extended_euclidean_algorithm,0.142857142857143*1.0**n*n,0.5617032051086426,0.06352400779724121,0.36731529235839844,gammaTime,0.363,1.0,(-T0*x**14 + T0 - x**5 - x**4)/(x**14 - 1)
59,factorial_.main,0.135387609239746*1.26655954340542**n,1.1809172630310059,0.05190277099609375,0.828035831451416,gammaTime,0.822,1.0,(-T0*(x**7 - x**5 + x**3 + x**2 - 1) + x**3*(x**7 + x**6 - x**5 - x**4 + x**3 + x**2 - 1))/(x**7 - x**5 + x**3 + x**2 - 1)
60,factorial_large_number_.main,0.0393544238328279*1.2626039468039**n,2.197723865509033,0.09295034408569336,1.4805853366851807,gammaTime,1.472,1.0,(-T0*(-x**11 + x**8 + (x**3 - 1)*(2*x**9*(x**3 + 1) - 2*x**5 - x**4*(x**3 + 1) + 1)) + 2*x**13*(-2*x**9*(x**3 + 1) + 2*x**5 + x**4*(x**3 + 1) - 1))/(-x**11 + x**8 + (x**3 - 1)*(2*x**9*(x**3 + 1) - 2*x**5 - x**4*(x**3 + 1) + 1))
61,factorial_trailing_zeroes_.main,0.25*1.0**n*n,0.1964399814605713,0.009347677230834961,0.12446880340576172,gammaTime,0.122,1.0,(-T0*x**4 + T0 - x**4)/(x**4 - 1)
62,fibonacci_.fib,1.34276985357042**n,0.12397003173828125,case 2,0.08988690376281738,gammaTime,0.087,2.0,-T0 + x**2*(x**2*(x*(T0**2 + 1) + 1) + 1)
63,fibonacci_dp_.fib,0.333333333333333*1.0**n*n,0.27680230140686035,0.020137548446655273,0.16568350791931152,gammaTime,0.164,1.0,(-T0*x**3 + T0 + x**5 - x**4 - x**2)/(x**3 - 1)
64,fibonacci_fast_.fib,0.529179712232089*1.28854058617506**n,0.4216916561126709,0.09850502014160156,0.13152432441711426,genFuncTime,0.157,1.0,-T0 + x**4*(x + 1)*(2*T0*x + 1)
65,fibonacci_formula_.fib,1.0**(n + 1),0.03960847854614258,0.009012222290039062,0.018384695053100586,gammaTime,0.016,1.0,-T0 + x**3
66,gcd_.GCD,0.333333333333333*1.0**n*n,0.10719609260559082,0.007285118103027344,0.038114070892333984,genFuncTime,0.056,1.0,-T0 + x**3*(T0 + 1)
67,is_armstrong_.main,1.0**(n + 1)*n,0.2068784236907959,0.011964082717895508,0.12836098670959473,gammaTime,0.126,1.0,(-T0*x**2 + T0 - 2*x**5)/(x**2 - 1)
68,large_factorials_.main,0.0674014912557928*1.31088904491452**n,2.543705701828003,0.08189558982849121,1.7765440940856934,gammaTime,1.77,1.0,(-T0*(x**13 + x**12 + x**11 + x**10 - x**9 - 3*x**8 - 2*x**7 - x**6 + 2*x**5 + x**4 + 2*x**3 - 1) + x**3*(x**13 + x**12 + x**11 - x**9 - 3*x**8 - 2*x**7 - x**6 + 2*x**5 + x**4 + 2*x**3 - 1))/(x**13 + x**12 + x**11 + x**10 - x**9 - 3*x**8 - 2*x**7 - x**6 + 2*x**5 + x**4 + 2*x**3 - 1)
69,lcm_.lcm,0.333333333333333*1.0**n*n,0.16265654563903809,0.01031041145324707,0.08069539070129395,gammaTime,0.078,1.0,-T0 + x**3*(T0 + x**3)
70,lerp_.main,0.166666666666667*1.0**n*n,0.24974942207336426,0.02629542350769043,0.14965462684631348,gammaTime,0.147,1.0,(-T0*x**6 + T0 - x**3)/(x**6 - 1)
71,palindrome_.isPalindrome,0.5*1.0**n*n,0.16365885734558105,0.007123708724975586,0.09757733345031738,gammaTime,0.096,1.0,(-T0*x**2 + T0 - x**3)/(x**2 - 1)
72,prime_.isPrime,0.5*1.0**n*n,0.7783982753753662,0.01964545249938965,0.6072900295257568,gammaTime,0.604,1.0,(-T0*(x**3 - x**2 + x - 1) + x**3*(x**5 - x**4 + x**3 - x**2 - 1))/(x**3 - x**2 + x - 1)
73,prime_factoriziation_.int_fact,0.0487628347895028*1.32968650903901**n,2.7820799350738525,0.06986355781555176,2.2271084785461426,gammaTime,2.218,1.0,(-T0*x**9 - T0*x**8 - T0*x**6 - 2*T0*x**4 + T0 - x**20 - x**19 - x**17 + x**14 + x**13 + x**12 + x**11 + 4*x**10 + 3*x**8 + x**6 - x**4 - x**2)/(x**9 + x**8 + x**6 + 2*x**4 - 1)
