,graph_name,pythonBranchingAPC,pythonBranching_time,pythonBranchingMathTime,pythonBranchingFirstHalfTime,(python)longest for getrgf,(python)longest time,pythonBranchingCase,pythonBranchingGamma
45,ternary_search_.ternarySearch,1.54802136333746*1.17969389074151**n,0.41798949241638184,0.043613433837890625,0.1555166244506836,genFuncTime,0.166,1.0,-T0 + x**3*(x*(x*(T0*x*(2*x + 1) + 1) + 1) + 1)
46,boyer_moore_search_.boyer_moore_search,0.0452772335377073*1.37600253791232**n,1.8342077732086182,0.09102272987365723,1.0578618049621582,gammaTime,1.051,1.0,(-T0*(x**6 - 2*x**3 + 1)*(2*x**11 + 4*x**10 + 2*x**9 + x**4 + x**3 - 1) + x**8*(x**4 + x**3 - 1))/((x**6 - 2*x**3 + 1)*(2*x**11 + 4*x**10 + 2*x**9 + x**4 + x**3 - 1))
47,naive_search_.naive_search,0.223305074822621*1.28519903324544**n,0.607764482498169,0.034511566162109375,0.33856892585754395,gammaTime,0.335,1.0,(-T0*(x**6 + x - 1) + x**3*(x - 1))/(x**6 + x - 1)
48,rabin_karp_search_.rabin_karp_search,0.185418826032106*1.32471795724478**n,1.8875937461853027,0.06572556495666504,1.3044774532318115,gammaTime,1.298,1.0,-T0 + x**7/(x**15 + 2*x**14 + 2*x**13 - x**12 - 3*x**11 - 2*x**10 + x**9 + 2*x**8 - x**5 - 2*x**3 + 1)
49,dijkstra_.dijkstra,0.0261473140648364*1.24759109662736**n,2.3402905464172363,0.09773588180541992,1.6527440547943115,gammaTime,1.645,1.0,-T0 - x**8*(x**7 + x**6 + x**4 - 1)/(x**18 + x**17 + x**15 + 2*x**14 + x**13 + x**12 + x**11 - x**10 - x**8 - 2*x**7 - x**6 - x**4 + 1)
50,prim_.prim,0.0430092029804531*1.3438087008139**n,2.7671709060668945,0.09418654441833496,1.9584760665893555,gammaTime,1.951,1.0,(-T0*(x**14 + x**13 - x**11 - x**10 - x**8 + x**5 + (x**5 + x**4 - 1)*(x**9 + x**8 + x**7 - x**6 - x**5 - x**4 - x**3 + 1)) + x**5*(-x**11 - x**10 - x**9 + x**5 - (x**5 + x**4 - 1)*(x**6 + x**5 + x**4 - 1)))/(x**14 + x**13 - x**11 - x**10 - x**8 + x**5 + (x**5 + x**4 - 1)*(x**9 + x**8 + x**7 - x**6 - x**5 - x**4 - x**3 + 1))
51,lcs_.lcsbuild,0.229931454099601*1.30793010592736**n,0.9046809673309326,0.05367422103881836,0.49535584449768066,gammaTime,0.491,1.0,(-T0*(2*x**8 + 2*x**7 + x**6 + x**5 - 1) + x**3*(2*x**8 + 2*x**7 + x**6 + x**5 - x**4 - x**3 - 1))/(2*x**8 + 2*x**7 + x**6 + x**5 - 1)
52,matrix_chain_order_.matrixChainOrder,0.0692422378637588*1.29707968347547**n,3.4224345684051514,0.08541440963745117,2.3434906005859375,gammaTime,2.336,1.0,-T0 + x**2*(2*x**12 + x**11 - x**7)/(x**19 + x**18 - 3*x**16 - 3*x**15 - 3*x**14 + 2*x**13 + 3*x**12 + 9*x**11 + 2*x**10 - 9*x**8 - 3*x**7 - 3*x**6 + 3*x**5 + x**4 + 3*x**3 - 1)
53,armstrong_number_.isArmstrong,1.34590019263237**n,133.09742712974548,case 2,0.6684927940368652,realnrootsTime,67.623,2.0,-T0*(T0*(x**2 - 1)*(T0*(x**2 - 1) + 2*x**8) - x**2*(T0**2*x**3*(x**2 - 1)**2 + 2*(T0*(x**2 - 1) + 2*x**8)**2))/(T0**2*(x**2 - 1)**2 - x**2*(T0**2*x**3*(x**2 - 1)**2 + 2*(T0*(x**2 - 1) + 2*x**8)**2))
54,cantor_set_.main,0.246368042775306*1.22920767830819**n,2.384211540222168,0.10822010040283203,1.568462610244751,gammaTime,1.562,1.0,(-T0*(x**5 - 1)*(x**9 - (x**2 - 1)*(x**3 - 1)) + 2*x**5*(-x**10*(x + 1)*(x**3 - 1) + (x**5 - 1)*(x**11 + x**10 + x**9 - (x**2 - 1)*(x**3 - 1)*(x**2 + x + 1))))/((x**5 - 1)*(x**9 - (x**2 - 1)*(x**3 - 1)))
55,cartesian_to_polar_.to_polar,108.0*1.0**n,0.7546625137329102,0.032340049743652344,0.5867006778717041,gammaTime,0.578,1.0,-T0 + x**5*(4*x**17 + 14*x**16 + 18*x**15 + 14*x**14 + 13*x**13 + 11*x**12 + 8*x**11 + 5*x**10 + x**9 + 3*x**8 + 5*x**7 + x**5 + 6*x**4 + 2*x**3 + 2*x + 1)
56,catalan_.main,0.00617283950617284*1.0**n*n**3,0.2784113883972168,0.029598474502563477,0.17462801933288574,gammaTime,0.172,1.0,-T0 - x**12/(x**3 - 1)**3
